Art of Jiu Jitsu Academy,411 E 17th St,Costa Mesa,CA,92627,US,artofjiujitsu.com,9496451679,Rafael Mendes,AOJJ,
Atos Brazilian Jiu-Jitsu San Diego,4425 Convoy St,San Diego,CA,92111,US,galvaojiujitsu.com,8582925040,Andre Galvao,ATOS,
Cobrinha Brazilian Jiu-Jitsu and Fitness,4929 Wilshire Blvd #104,Los Angeles,CA,90010,US,cobrinhabjj.com,3239319952,Rubens Charles Maciel,Alliance,
Roger Gracie Academy,149 Freston Rd,London,,W106TH,UK,rogergracie.com,442089601112,Roger Gracie,Roger Gracie,
Marcelo Garcia Academy,250 W 26th St,New York,NY,10001,US,marcelogarciajj.com,2124140044,Marcelo Garcia,Alliance,
Marcelo Alonso BJJ Fife,2519 Pacific Hwy E,Fife,WA,98424,US,mabjj.com,2062297400,Marcelo Alonso,Carlson Gracie,
Adamson Bro's MMA and Jiu Jitsu Academy,1601 S Roosevelt Dr,Seaside,OR,97138,US,orbjj.com,5037384080,Zach Adamson,Lovato,
Robson Moura Jiu Jitsu Academy,11220 W Hillsborough Ave,Tampa,FL,33635,US,robsonmoura.com,8138551760,Robson Moura,Nova Uniao,
Fit Plus Martial Arts,850 Main St,Dartmouth,NS,B2W5A2,CA,fitplusmma.com,9024048424,Scott MacLean,Nova Uniao,
Titans Fitness Academy,174 Horseshoe Lake Dr,Halifax,NS,B3S0B7,CA,titansfitnessacademy.com,,Kevin Taylor,Renzo Gracie,
Penn Training and Fitness,639 Kinoole St,Hilo,HI,96720,US,penntrainingandfitness.com,8089616989,BJ Penn,Nova Uniao,
Fight Sports Miami,2220 Northeast 2nd Avenue,Miami,FL,33137,US,miamibjjcenter.com,7862906875,Roberto Abreu,Nova Geracao,
Clark Gracie Jiu-Jitsu Academy,1851 San Diego Ave Ste 100B,San Diego,CA,92110,US,clarkgracie.com,6192204810,Clark Gracie,Clark Gracie,
Institute of Martial Arts,855 Park Avenue,San Jose,CA,95126,US,caioterra.com,4083963223,Caio Terra,Caio Terra,
Gracie Technics,428 Mc Neill St. (Unit 4),Honolulu,HI,96817,US,gracietechnics.com,8088342550,Rylan Lizares,Pedro Sauer,
Lovato's School of Brazilian Jiu-Jitsu,4419 NW 50th,Oklahoma City,OK,73112,US,okbjj.com,4054665255,Rafael Lovato Jr,Saulo Ribero,
Gracie Arizona Jiu Jitsu Academy,2109 E. McDowell Rd.,Phoenix,AZ,85006,US,graciearizona.com,6023216544,Nathan Zigler,Relson Gracie,
Gustavo Dantas Brazilian Jiu-Jitsu,1848 E. University Dr. #108,Tempe,AZ,85281,US,gdjiujitsu.com,4809686303,Gustavo Dantes,Nova Uniao,
One Spirit Martial Arts,46950 Community Plaza, #220,Sterling,VA,20164,US,virginiabjj.com,7034444468,Pedro Sauer,Pedro Sauer,
Rey Diogo Brazilian Jiu-Jitsu,8733 Venice Blvd,Los Angeles,CA,90034,US,reydiogo.com,3108399086,Ricardo Diogo,Carlson Gracie,
Toronto BJJ Mixed Martial Arts,813 Bloor Street West,Toronto,ON,M6G1L8,CA,torontobjj.com,4167446868,Jorge Britto,Saulo Ribero,
OpenMat Brazilian Jiu-Jitsu,593 Yonge Street,Toronto,ON,M4Y1Z4,CA,openmat.ca,6472698466,Elliott Bayev,Renzo Gracie,
Gracie Barra Calgary,6031 3rd St SE,Calgary,AL,T2H0P3,CA,graciebarracalgary.com,4038992880,Josh Russell,Gracie Barra,
Zuma,1035 Alston St,Victoria,BC,V9A3S6,CA,zuma.tv,2504752885,Adam Zugec,Carlson Gracie,
Carlson Gracie London,89 Richford Street,London,,W67HJ,UK,bjjlondon.com,442087488855,Wilson Junior,Carlson Gracie,
Carlson Gracie Hungary,Fáy utca 58,Budapest,,1139,HU,carlsongracie.hu,3670346643,Sztraka Mihály,Carlson Gracie,
Kron Gracie Jiu Jitsu,11837 Teale St,Culver City,CA,90230,US,krongraciejiujitsu.com,424240576,Kron Gracie,Rickson Gracie,
Alliance Jiu-Jitsu Frankfurt am Main,Goethering 54,Offenbach am Main,Hesse,63067,DE,alliance-frankfurt.de,,Henry Navorra,Alliance,
Team Curran MMA Inc.,110 W. Woodstock St.  Unit E,Crystal Lake,IL,60014,US,teamcurran.com,8153560454,Jeff Curran,Pedro Sauer,
Northwest Jiu Jitsu Academy,942 N 95th St,Seattle,WA,98103,US,nwjja.com,2064408856,Brian Johnson,Machado,
Gracie Barra Ballard,5607 20th Avenue Northwest,Seattle,Washington,98107,US,ballardbjj.com,2062146406,,Gracie Barra,micah@ballardbjj.com
Gracie Barra Seattle,270 South Hanford St. Suite 101,Seattle,Washington,98134,US,gbseattle.com,2063343327,,Gracie Barra,info@gbseattle.com
Gracie Barra Bellevue,2505 152nd Avenue Northeast,Redmond,Washington,98052,US,gbbellevue.com,4257538288,,Gracie Barra,info@gbbellevue.com
Gracie Barra Vancouver,2440 Main St,Vancouver,British Columbia,V5T 3E2,CA,gbvancouver.com,7788794006,,Gracie Barra,info@gbvancouver.com
Elite Brazilian Jiu-Jitsu of Redmond, 17725 Northeast 65th Street. Suite #A175,Redmond,Washington,98052,US,bjjredmond.com,4253105261,,Elite Brazilian Jiu-Jitsu,sales@bjjredmond.com
Ivan Salaverry MMA,230 8th Ave N,Seattle,WA,98109,US,ivansalaverrymma.com,2066528381,Ivan Salaverry,Carlson Gracie,ivansalaverrymma@ivansalaverry.net
Marcelo Alonso BJJ,4211 Winslow Pl N,Seattle,WA,98103,US,mabjj.com,2062297400,Marcelo Alonso,Carlson Gracie,
Lake City Jiu-Jitsu Garage,12326 14th Avenue Northeast. Building A,Seattle,Washington,98125,US,podiumbrand.com,2066614210,Evan Brooks,Marcelo Alonso,info@podiumbrand.com
Buffalo Brazilian Jiu-Jitsu Academy,22 French Lea Road,Buffalo,New York,14224,US,buffalobjj.com,7167713046,,De La Riva,
Elite Brazilian Jiu-Jitsu of Everett,2221 Everett Avenue. Suite 103,Everett,Washington,98201,US,everettbjj.com,4253308853,,Elite Brazilian Jiu-Jitsu,everettbjj@live.com
Anchorage BJJ,113 West Northern Lights Boulevard,Anchorage,Alaska,99503,US,anchoragebjj.com,9077489080,,Tinguinha BJJ,management@anchoragebjj.com
